# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-18T06:00:00Z, until=2026-09-19T05:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (3 record(s) matching this query); records: 3; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: re2_11.0.0_default-caps-simdna,tre_0.9.0_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	re2_11.0.0_default-caps-simdna	tre_0.9.0_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec					unsup	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	167.8	1.698026	70578.767924	1.000000
capability@0.1	base10num-near-miss	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2051.2	1.982383	9.070666	1.000000
capability@0.1	bracket-array-define					unsup	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121332.8	18.442069	527.219997	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2471.1	3.112019	9.695150	1.000000
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121304.1	unsup	unsup	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2468.2	unsup	unsup	1.000000
capability@0.1	currency-lookbehind-fixed					unsup	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	167.0	1.714464	52011.099235	1.000000
capability@0.1	date-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1866.0	5.161590	7.368952	1.000000
capability@0.1	doubled-word	large-subject-throughput	plain	tre_0.9.0_default-caps-simdna	214644617.5	unsup	1.000000	unsup
capability@0.1	doubled-word	short-subject-search	plain	tre_0.9.0_default-caps-simdna	211358.9	unsup	1.000000	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	tre_0.9.0_default-caps-simdna	185048882.0	unsup	1.000000	unsup
capability@0.1	dup-param-detect	short-subject-search	plain	tre_0.9.0_default-caps-simdna	196700.5	unsup	1.000000	unsup
capability@0.1	email-local-nodup					unsup	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	re2_11.0.0_default-caps-simdna	341.4	1.000000	64284.436597	92.585950
capability@0.1	email-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1842.8	23.899862	111.051708	1.000000
capability@0.1	evil-alt-nested	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	169.8	1.844398	60260.810008	1.000000
capability@0.1	evil-alt-nested	short-subject-search	plain			wrong	wrong	wrong
capability@0.1	file-ext-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	84722.6	2.957153	302.862360	1.000000
capability@0.1	file-ext-order	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2477.7	3.084480	wrong	1.000000
capability@0.1	float-literal-bound					unsup	unsup	unsup
