# reporter: v17 (2026-09-17); filters: subbench=email-specimen, version=0.1; source: store/index.tsv (14 record(s) matching this query); records: 9; excluded_invalid: 0; superseded: 5; newer_not_measured: 0; subbench_versions: email-specimen@0.1; machines: budu-ryzen1600; schema_versions: 1.1,1.2; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 9; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a; floor_pattern: none
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T221651Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260825T174132Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T222422Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__pcrec_692c2e8_auto-nocaps-simdna__budu-ryzen1600__20260825T222840Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__pcrec_692c2e8_vm-caps-simdna__budu-ryzen1600__20260825T175933Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_692c2e8_vm-in-caps-simdna__budu-ryzen1600__20260825T180451Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_auto-caps-simdna__budu-ryzen1600__20260825T065046Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_auto-nocaps-simdna__budu-ryzen1600__20260825T063943Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_vm-caps-simdna__budu-ryzen1600__20260825T064436Z				agreement	n/a (v1.1)						
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	111.646974	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	131.113440	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	148.862977	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	320.555719	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	466.932438	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	490.182469	5	1.0000	0	0		
rank	factored	s-000	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	500.852012	5	1.0000	0	0		
rank	factored	s-000	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	8	median_ns	862.142324	5	1.0000	0	0		
rank	factored	s-000	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	872.730604	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	103.617466	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	107.281890	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	153.078251	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	median_ns	154.984343	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	330.522739	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	430.722624	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	464.467083	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	8	median_ns	467.649352	5	1.0000	0	0		
rank	factored	s-000	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	865.714451	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	144.174492	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	164.512141	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	203.512966	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	379.211499	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	506.629072	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	584.419392	5	1.0000	0	0		
rank	factored	s-001	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	600.273655	5	1.0000	0	0		
rank	factored	s-001	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	8	median_ns	1218.851237	5	1.0000	0	0		
rank	factored	s-001	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	1224.444051	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	135.638864	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	139.297983	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	175.574442	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	4	median_ns	208.400157	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	392.505743	5	1.0000	0	0		
rank	factored	s-001	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	520.603374	5	1.0000	0	0		
